29677598,29677824,-701890,-9643,340698,-932617,76131696,500672,159802784,2524,901,4819,,,,,
29677764,29677948,-568773,-12939,342102,-934875,76150160,608872,159765424,2524,901,4820,,,,,
29677924,29678110,-574824,-12329,341186,-931335,76163344,638665,159728288,2525,901,4821,,,,,
29677724,29678016,-901566,-11901,338561,-934814,76169640,655506,159807152,2525,901,4822,,,,,
29678086,29677848,738195,-11413,340820,-934081,76170832,644280,159793008,2524,900,4823,,,,,
29677920,29677740,556671,-12451,341369,-936157,76160160,560764,159824256,2524,901,4824,,,,,
29677928,29677986,-181523,-12390,341918,-934875,76151192,530029,159811680,2524,900,4825,,,,,
29677722,29677832,-338843,-12207,342163,-932678,76142744,514210,159778080,2525,901,4826,,,,,
29677960,29677800,496164,-12573,339965,-934020,76135280,516008,159807360,2524,901,4827,,,,,
29677830,29677962,-411453,-9826,340209,-936462,76125560,455866,159845392,2525,901,4828,,,,,
29678060,29677848,659535,-12023,340026,-932128,76127512,502336,159822944,2525,901,4829,,,,,
29678020,29678330,-962074,-10009,340881,-936584,76128512,467246,159838512,2524,900,4830,,,,,
29677848,29677898,-157320,-12817,339233,-933471,76134256,549564,159848640,2525,901,4831,,,,,
29677966,29677854,350945,-13183,340026,-937194,76138368,588527,159872736,2524,900,4832,,,,,
29677618,29677798,-562722,-13183,342834,-931152,76140360,605507,159771936,2524,901,4833,,,,,
29677778,29677806,-90761,-11535,338012,-933227,76141696,551090,159847488,2525,901,4834,,,,,
29678090,29677924,514316,-9887,341674,-931152,76151960,489029,159789520,2525,901,4835,,,,,
29677638,29677598,127066,-11779,340209,-935302,76152992,519635,159815808,2525,901,4836,,,,,
29677792,29677974,-568773,-11596,340393,-934081,76143712,469286,159838496,2524,901,4837,,,,,
29677860,29677930,-217828,-10498,342346,-931457,76139224,440076,159774352,2524,901,4838,,,,,
29677864,29677978,-356996,-13671,339721,-933837,76136048,504870,159818320,2525,901,4839,,,,,
29677822,29677800,66558,-8422,340332,-932678,76131264,401087,159823232,2524,900,4840,,,,,
29677966,29678068,-314640,-10986,339477,-935546,76133848,412868,159869456,2524,900,4841,,,,,
29677884,29677960,-235980,-12207,338989,-937194,76116488,463860,159907200,2525,901,4842,,,,,
29677838,29678032,-599027,-10192,340576,-937866,76134696,433829,159914368,2524,900,4843,,,,,
29677992,29677952,127066,-10437,340270,-934692,76144592,433394,159889648,2524,900,4844,,,,,
29677970,29677952,60507,-9826,340759,-931518,76170520,557695,159795008,2524,901,4845,,,,,
29678016,29677878,423554,-10498,342651,-933532,76192792,614081,159722144,2524,901,4846,,,,,
29677786,29677720,199675,-10803,341247,-935485,76214056,638025,159734304,2524,901,4847,,,,,
29677832,29677940,-332792,-10681,339904,-936584,76235192,643810,159783024,2524,900,4848,,,,,
29677884,29677878,18152,-12512,341918,-933959,76247264,676087,159734480,2524,901,4849,,,,,
29677878,29677912,-102863,-13854,340820,-934142,76266944,736429,159750464,2524,901,4850,,,,,
29677960,29678078,-363046,-10620,339416,-935729,76266480,671363,159795088,2525,901,4851,,,,,
29677572,29677724,-471960,-11718,341918,-937683,76301552,681201,159774896,2524,900,4852,,,,,
29677760,29677648,344894,-13061,341125,-933654,76312704,701664,159748448,2525,900,4853,,,,,
29677998,29678334,-1040734,-9399,342346,-935485,76301752,436082,159788608,2525,901,4854,,,,,
29677966,29678016,-151269,-11474,342163,-933654,76296784,390210,159777712,2524,900,4855,,,,,
29678186,29678206,-60507,-9399,342529,-935058,76292912,320740,159771600,2524,900,4856,,,,,
29677820,29677914,-290437,-11047,341796,-934936,76286016,348464,159799536,2524,900,4857,,,,,
29677936,29678020,-260183,-11779,340637,-934997,76285152,380984,159837584,2524,900,4858,,,,,
29678036,29677936,308589,-11169,342407,-937621,76279368,370101,159835184,2524,900,4859,,,,,
29677860,29677740,369097,-12573,339111,-936584,76284856,412702,159907632,2524,901,4860,,,,,
29677986,29677890,296488,-11962,341979,-934875,76314272,625441,159805920,2524,901,4861,,,,,
29678046,29677798,768449,-11718,340515,-936035,76338160,690880,159804352,2524,901,4862,,,,,
